id,text,language,label,source,license,collection_date,split,translation_of,collector,notes
bm-0001,It’s hard to sleep; my thoughts won’t stop.,my,distress,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0002,Sometimes I want to disappear for a while.,my,distress,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0003,Every day feels heavier than the last.,my,distress,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0004,It’s hard to sleep; my thoughts won’t stop.,my,distress,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0005,I feel empty even when surrounded by people.,zom,distress,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0006,I feel lost and tired of everything.,my,distress,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0007,It’s hard to sleep; my thoughts won’t stop.,my,distress,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0008,Every day feels heavier than the last.,my,distress,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0009,It hurts to smile when I don’t mean it.,my,distress,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0010,It hurts to smile when I don’t mean it.,zom,distress,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0011,Every day feels heavier than the last.,zom,distress,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0012,I feel empty even when surrounded by people.,zom,distress,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0013,I feel lost and tired of everything.,my,distress,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0014,"I’m trying, but the sadness won’t go away.",zom,distress,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0015,Sometimes I want to disappear for a while.,my,distress,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0016,Every day feels heavier than the last.,zom,distress,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0017,It’s hard to sleep; my thoughts won’t stop.,my,distress,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0018,"I’m trying, but the sadness won’t go away.",my,distress,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0019,Nothing seems to make sense anymore.,zom,distress,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0020,I feel empty even when surrounded by people.,zom,distress,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0021,I feel lost and tired of everything.,zom,distress,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0022,It hurts to smile when I don’t mean it.,my,distress,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0023,"I’m trying, but the sadness won’t go away.",my,distress,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0024,It hurts to smile when I don’t mean it.,zom,distress,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0025,I feel empty even when surrounded by people.,zom,distress,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0026,I feel empty even when surrounded by people.,my,distress,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0027,It’s hard to sleep; my thoughts won’t stop.,my,distress,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0028,Every day feels heavier than the last.,zom,distress,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0029,It’s hard to sleep; my thoughts won’t stop.,my,distress,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0030,It’s hard to sleep; my thoughts won’t stop.,zom,distress,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0031,Sometimes I want to disappear for a while.,zom,distress,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0032,Nothing seems to make sense anymore.,my,distress,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0033,Nothing seems to make sense anymore.,zom,distress,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0034,Every day feels heavier than the last.,zom,distress,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0035,It’s hard to sleep; my thoughts won’t stop.,my,distress,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0036,It hurts to smile when I don’t mean it.,my,distress,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0037,I wish I could find peace again.,zom,distress,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0038,"I’m trying, but the sadness won’t go away.",zom,distress,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0039,It hurts to smile when I don’t mean it.,my,distress,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0040,Nothing seems to make sense anymore.,my,distress,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
