label,text,notes
distress,မိမိယုံကြည်ချက်တွေ ပျက်ကွက်လာတယ်။,Distress signal (overwhelm/anxiety).
neutral,တနင်္ဂနွေမှာ စားပွဲလေးလုပ်မယ်။,Neutral everyday statement.
distress,အိပ်ယာထက ပျံ့ပါးမထနိုင်တဲ့နေ့တွေ ရှိတယ်။,Distress signal (overwhelm/anxiety).
distress,တစ်နေ့ပတ်လုံး စိုးရိမ်မှုလှိုင်းတွေ ထပ်လာနေတယ်။,Distress signal (overwhelm/anxiety).
distress,"Kei in a tukawk cang, ngakmah in theih thei lo hi na hngak.",Distress signal (overwhelm/anxiety).
distress,ညတိုင်း အိပ်မပျော်ဘူး၊ မနက်ခင်းမှာ လန်းဆန်းမှုမရှိတော့ဘူး။,Distress signal (overwhelm/anxiety).
distress,အလုပ်ပျက်ကွက်တာတွေကြောင့် စိတ်မကောင်းပါ။,Distress signal (overwhelm/anxiety).
distress,အရင်က ဝမ်းသာဖို့ကိစ္စတွေတောင် ယခုတော့ အားမပါတော့ဘူး။,Distress signal (overwhelm/anxiety).
distress,ဘယ်လိုပြန်ကောင်းမလဲဆိုတာ မမြင်တော့ဘူး။,Distress signal (overwhelm/anxiety).
neutral,နေ့စဉ် အိမ်သန့်ရှင်းရေးလုပ်ပြီး စာဖတ်မယ်။,Neutral everyday statement.
distress,အလုပ်မှာ အားမရ၊ မိမိကိုယ်ကို တန်ဖိုးမရှိသလို ခံစားရတယ်။,Distress signal (overwhelm/anxiety).
distress,မောင်းနှင်ရင်တောင် လက်သားတုန်နေတယ်။,Distress signal (overwhelm/anxiety).
neutral,ညနေခင်း အေးမြပြီး သာယာတယ်။,Neutral everyday statement.
distress,Ka lungdam lo; ka thinlung a veve.,Distress signal (overwhelm/anxiety).
neutral,Van ni' ka hmu; ruah a tha a si.,Neutral everyday statement.
distress,မနက်မိုးတိမ်ပင့်နေသလို ကိုယ့်စိတ်ကလည်း အင်းကျက်နေတယ်။,Distress signal (overwhelm/anxiety).
distress,မနက်ဖြန်ကို ကြိုဆိုဖို့စိတ်အားမရှိတော့ဘူး။,Distress signal (overwhelm/anxiety).
distress,စိုးရိမ်တာအိပ်လို့မရဘူး။ နေရက်တိုင်း လက်မလုံ့လန့်ဖြစ်နေတယ်။,Distress signal (overwhelm/anxiety).
distress,နေ့ရက်တွေ ပုံမှန်မတော်တဆဖြတ်သန်းနေတယ်။,Distress signal (overwhelm/anxiety).
neutral,Kha an thu a ka duh; keimah ka zum lo.,Neutral everyday statement.
distress,မင်္ဂလာပါပဲဆိုတဲ့စကားမျိုးကိုတောင် ပြန်မပြောနိုင်လောက်အောင် စိတ်မကောင်းနေတယ်။,Distress signal (overwhelm/anxiety).
neutral,အိမ်သားတွေ နေကောင်းနေကြတယ်။,Neutral everyday statement.
distress,မိမိအပေါ်မယုံကြည်တော့ဘူး။ အခက်အခဲတွေကြားမှာ တစ်ယောက်တည်းခံနေတယ်။,Distress signal (overwhelm/anxiety).
distress,မိမိရဲ့အသံ မည်သူမှမကြားသလို ခံစားရတယ်။,Distress signal (overwhelm/anxiety).
distress,လူတွေထဲဝင်ရင် စိုးရိမ်တက်ပြီး ရင်ဘတ်တင်းတိပ်တယ်။,Distress signal (overwhelm/anxiety).
distress,ဟန်လိုက်ပြုံးရင်း အတွင်းမှာ မိုးလေဝသကဲ့သို့ ဖြစ်နေတယ်။,Distress signal (overwhelm/anxiety).
distress,ငြီးငွေ့မှုတွေ အတွင်းထဲမှာ ကြီးထွားလာတယ်။,Distress signal (overwhelm/anxiety).
distress,မင်းတစ်ယောက်တည်းလမ်းလျှောက်နေတယ်ထင်ရတဲ့ခံစားချက်။,Distress signal (overwhelm/anxiety).
neutral,အင်တာနက်အဆင်ပြေတယ်၊ အလုပ်ပြီးမြောက်တယ်။,Neutral everyday statement.
distress,နေ့စဉ် စိတ်ဓာတ်ကျနေတယ်၊ အရာရာမှ အရောင်မရှိတော့ဘူး။,Distress signal (overwhelm/anxiety).
distress,ဘာမှ မလုပ်ချင်တော့ဘူး၊ အားလုံးထဲက ပျောက်လစ်ချင်တယ်။,Distress signal (overwhelm/anxiety).
distress,ရင်ဘတ်ထဲ အမြဲတမ်း မိုးအုံ့အုံ့မိုးတိုက်နေသလို ဖြစ်တယ်။,Distress signal (overwhelm/anxiety).
neutral,အားကစား အနည်းငယ်လုပ်ပြီး အနားယူမယ်။,Neutral everyday statement.
distress,မီးတောက်မိုးတိမ်ထဲမှာ လမ်းလွဲသွားတဲ့အတူပေါက်နေတယ်။,Distress signal (overwhelm/anxiety).
distress,မိမိစကားတွေကိုလည်း လူတွေမနားထောင်ဘူး ထင်တယ်။,Distress signal (overwhelm/anxiety).
distress,မိန်းကျား/မိန်းမကျောင်းသားကာလက လုပ်မိသလို မှားမိတာတွေကို တာ့တယောက်တည်းရှေ့ဆက်နေတယ်။,Distress signal (overwhelm/anxiety).
distress,ငြိမ်သက်မှု ရှာမတွေ့တော့ဘူး။,Distress signal (overwhelm/anxiety).
distress,မိမိတန်ဖိုးကို လုံးဝမတွေ့တော့ဘူးထင်တယ်။,Distress signal (overwhelm/anxiety).
distress,အသံအများကြီးကြားရင် အလွန် စိတ်ဖိစီးတယ်။,Distress signal (overwhelm/anxiety).
distress,အပြင်ထွက်ရင် လူတွေ့ရမယ်လို့ ထိတ်လန့်တယ်။,Distress signal (overwhelm/anxiety).
distress,Na cem leh na cem in a kim thei lo; kei in a lungkham a om.,Distress signal (overwhelm/anxiety).
distress,အသက်ရှုမဝရလောက်တယ်ဆိုတဲ့ခံစားချက် ရောက်လာတယ်။,Distress signal (overwhelm/anxiety).
distress,သူများလောက် မတတ်နိုင်ဘူးဆိုတာကြောင့် လွန်ထဲနေတယ်။,Distress signal (overwhelm/anxiety).
distress,ဆံပင်တစ်ကြောင့်တောင် ခံမရတော့ဘူးထင်တယ်။,Distress signal (overwhelm/anxiety).
distress,Zungzal in ka mitthla; vun reuh reuh ka ton.,Distress signal (overwhelm/anxiety).
neutral,စာအုပ်အသစ် ကြည့်ဖြစ်တယ်။ စိတ်ဝင်စားဖို့ကောင်းတယ်။,Neutral everyday statement.
distress,An thil a tluk zet na hngak; theih thiamnak khal a lo manh lo.,Distress signal (overwhelm/anxiety).
neutral,ဒီနေ့ရာသီဥတုကောင်းတယ်။ မိုးနည်းနည်းလေးရွာတယ်။,Neutral everyday statement.
distress,ပင်ပန်းလွန်းလို့ စားရန်တောင် မစိတ်ကူးတော့ဘူး။,Distress signal (overwhelm/anxiety).
distress,မိသားစုအတွက် တာဝန်တွေကြီးလွန်းလို့ စိတ်ဖိစီးနေတယ်။,Distress signal (overwhelm/anxiety).
distress,အိပ်မပျော်ဘူး၊ ရင်ဘတ်တခါတရံ တင်းတိပ်လို့ လူနာဖြစ်နေသလိုခံစားရတယ်။,Distress signal (overwhelm/anxiety).
neutral,နောက်အပတ်မှာ မိသားစုနဲ့ စားသောက်မယ်။,Neutral everyday statement.
distress,ငိုချင်တဲ့ခံစားချက် အမြဲတန်းကြားနေတယ်။,Distress signal (overwhelm/anxiety).
neutral,Kawlpi an thil a mawi zet; zanlai ka cawng to.,Neutral everyday statement.
distress,မိမိလုပ်ရာ အလုပ်တွေကို ထိန်းမရတော့ဘူးလို့ တွေးတောနေတယ်။,Distress signal (overwhelm/anxiety).
distress,Bawipa in ka hawl aw lo bang; ka ngah thei lo.,Distress signal (overwhelm/anxiety).
neutral,ဟင်းချက်တာ အရသာဘဲ ရသလို ရမယ်။,Neutral everyday statement.
neutral,Nangmah leh ka uknak a si thei; ka dam phah phah a si.,Neutral everyday statement.
distress,ငွေကြေးအကျပ်အတည်းကြောင့် ရှူမောနေတယ်။,Distress signal (overwhelm/anxiety).
neutral,Zanlai ka kawl ah ka kal lai; ruahhrua a si lo.,Neutral everyday statement.
distress,ရင်ထဲ ဝေဒနာအလှမ်းရှည် လှိုင်းကြီးလေထုတွေနဲ့တူပြန်လည်လာတယ်။,Distress signal (overwhelm/anxiety).
distress,အိမ်ရှေ့က တံခါးမျက်နှာပြင်တောင် ကျော်ချင်မကျော်နိုင်ဘူး။,Distress signal (overwhelm/anxiety).
distress,ဘယ်လိုအောင်မြင်သွားရမလဲ မသိတော့ဘူး။,Distress signal (overwhelm/anxiety).
neutral,ညနေခင်းမှာ လမ်းလျှောက်သွားမယ်။,Neutral everyday statement.
distress,ထိခိုက်ခံစားရတဲ့စကားတွေကြားပြီး စိတ်နာနေတယ်။,Distress signal (overwhelm/anxiety).
distress,ကိုယ့်ရဲ့ အနာဂတ်ကို တွေ့မရတဲ့အခါ စိတ်တွင်တင်းတိပ်နေတယ်။,Distress signal (overwhelm/anxiety).
neutral,မန်ဘာကြက်သီးနဲ့ သောက်စရာပြင်မယ်။,Neutral everyday statement.
distress,အလုပ်ရဲ့ဖိအားကြောင့် ခံနိုင်ရည်ကျနေတယ်။,Distress signal (overwhelm/anxiety).
distress,တချို့နေ့တွေမှာ ထိုင်ပြီး အမြှောက်အမြားသိမ်းမရဘူး။,Distress signal (overwhelm/anxiety).
neutral,ကော်ဖီတစ်ခွက် သောက်ပြီး အလုပ်စမယ်။,Neutral everyday statement.
distress,တစ်ခဏတောင် စိတ်အေးမရဘူး၊ အတွင်းမှာ မိုးတိမ်မက်မက်ဖြစ်နေတယ်။,Distress signal (overwhelm/anxiety).
distress,အိမ်ပြန်ရောက်တိုင်း အငိုလို့ရချင်သလို ဖြစ်တယ်။,Distress signal (overwhelm/anxiety).
distress,ပန်းကန်ကွဲပြီး ချုပ်မရသလို စိတ်က အကြွင်းအကျန်ဖြိုခွဲနေတယ်။,Distress signal (overwhelm/anxiety).
distress,Kasiah na zangin minam a ngai sak hi; a thei lo in na dam thei lo hi.,Distress signal (overwhelm/anxiety).
distress,အနားယူချင်ပေမယ့် အားလုံးထဲက ပြေးထွက်ဝေးချင်တယ်။,Distress signal (overwhelm/anxiety).
neutral,မနက်ဖြန် အလုပ်ခွင်သွားမယ်။,Neutral everyday statement.
distress,Thupi nailo bang in a om; hun a cem cio a si lo.,Distress signal (overwhelm/anxiety).
distress,ဒီနေ့ စိတ်အရမ်းပင်ပန်းနေတယ်။ အလုပ်တွေအကုန်လှုပ်ခတ်နေတယ်။,Distress signal (overwhelm/anxiety).
neutral,တစ်နေ့တာ အားလုံးအဆင်ပြေတယ်။,Neutral everyday statement.
distress,မိသားစုပြဿနာတွေကြောင့် စိတ်ဓာတ်ကျနေတယ်။,Distress signal (overwhelm/anxiety).
distress,"Na theih na lo theih in, ka ruat mi hmu lo.",Distress signal (overwhelm/anxiety).
distress,Ziangkim ka ngai bawk lo; ka dam thei maw? ka thei lo.,Distress signal (overwhelm/anxiety).
